//X,Y,Z,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,Scalar field #8,Scalar field #9,Scalar field #10,Scalar field #11,Scalar field #12,Scalar field #13,Scalar field #14,Scalar field #15,Scalar field #16,Scalar field #17,Scalar field #18,Scalar field #19,Scalar field #20,Scalar field #21,Scalar field #22,Scalar field #23,Scalar field #24,Scalar field #25,Scalar field #26,Scalar field #27,Scalar field #28,Scalar field #29,Scalar field #30,Scalar field #31,Scalar field #32,Scalar field #33,Scalar field #34,Scalar field #35,Scalar field #36,Scalar field #37,Scalar field #38,Scalar field #39,Scalar field #40,Scalar field #41,Scalar field #42,Scalar field #43,Scalar field #44,Scalar field #45,Scalar field #46,Scalar field #47,Scalar field #48,Scalar field #49,Scalar field #50,Scalar field #51
31.46665001,77.59754944,727.76586914,402.000000,0.088303,4552.511230,-0.549750,0.228000,0.733300,0.348750,0.072200,0.528737,0.160489,0.445450,0.121147,nan,0.009382,42847.703125,-0.628300,0.220500,0.710500,0.352100,0.001900,0.327136,0.121189,0.358016,0.069801,nan,2.000000,0.004975,1.001246,0.187589,0.002950,-0.011551,0.018982,0.960199,4.943188,12.243162,0.011837,0.053889,15.000000,12.000000,0.001800,0.004000,0.905263,4.034898,9.389875,0.002904,0.053435,16.000000,11.000000,0.001900,0.002300,0.000000
31.81859970,77.32959747,728.26477051,207.000000,0.042778,4838.893555,-0.574200,0.374500,0.577900,0.076700,0.004000,0.429111,0.241709,0.580332,0.200971,0.012337,0.003849,53779.597656,-0.630600,0.359350,0.598500,0.071600,0.003250,0.305465,0.218301,0.481730,0.096416,0.007414,11.000000,0.053140,1.002424,-0.377165,0.004650,-0.037552,0.008423,1.000000,3.758879,42.235779,0.005923,0.072415,16.000000,19.000000,0.002500,0.007500,1.000000,3.432461,33.376057,0.007903,0.047168,17.000000,18.000000,0.001900,0.006400,0.000000
31.37454987,77.46984863,727.71447754,82.000000,0.023380,3507.235352,-0.599400,0.153450,0.712800,0.359200,nan,0.605370,0.195634,0.325638,0.105154,nan,0.001968,41666.347656,-0.542700,0.048800,0.712300,0.457400,nan,0.678783,0.093565,0.392696,0.036668,nan,0.000000,0.000000,1.006154,0.061215,-0.023750,-0.019100,-0.017975,0.926829,3.649587,16.864288,0.002751,0.053777,15.000000,9.000000,0.001500,0.005400,0.555556,3.689324,10.763880,0.000958,0.066813,13.000000,9.000000,0.000900,0.018600,0.000000
31.71495056,77.39929962,728.06555176,352.000000,0.086543,4067.350830,-0.163950,0.258200,0.262100,0.119750,nan,0.506555,0.289402,0.706007,0.157860,nan,0.009250,38052.855469,-0.168300,0.564600,0.140700,0.095900,nan,0.615138,0.329263,0.473784,0.082354,nan,9.000000,0.025568,1.001423,-0.338288,-0.008900,0.005852,-0.003571,0.974432,4.278158,33.735889,0.003298,0.075966,15.000000,14.000000,0.003100,0.009050,0.957747,4.657354,19.226187,0.002777,0.050733,15.000000,13.000000,0.003100,0.014200,0.000000
31.94129944,77.75579834,728.01757813,629.000000,0.145270,4329.882324,-0.323100,0.227000,0.786300,0.099000,0.006200,0.452198,0.249502,0.471986,0.118684,nan,0.015214,41344.472656,-0.355400,0.249600,0.575700,0.121600,0.003800,0.404517,0.290910,0.486053,0.067372,0.009301,9.000000,0.014308,1.000796,-0.258449,-0.043900,0.026749,-0.005371,0.995230,11.486552,15.778346,0.017448,0.038657,17.000000,14.000000,0.001400,0.005600,1.000000,4.579656,12.171835,0.018622,0.023099,17.000000,12.000000,0.003100,0.005300,0.000000
31.10054970,76.99479675,727.32836914,254.000000,0.051293,4951.959473,-0.482500,0.197900,0.730400,0.104450,0.004450,0.368529,0.291014,0.490279,0.047298,0.010608,0.005396,47075.527344,-0.533700,0.150900,0.780600,0.108200,0.003000,0.289462,0.182814,0.372107,0.025602,0.007611,6.000000,0.023622,1.001974,-0.113485,0.002950,-0.005749,-0.016815,1.000000,17.247198,21.673800,0.020535,0.045355,16.000000,15.500000,0.001650,0.008000,1.000000,22.776709,13.179526,0.028824,0.025344,16.000000,16.000000,0.001400,0.005000,0.000000
30.92449951,76.70680237,727.73327637,132.000000,0.026303,5018.398438,-0.546250,0.422200,0.512650,0.091400,0.006450,0.388758,0.273889,0.440960,0.101213,0.012299,0.001665,79296.273438,-0.712400,0.312400,0.601800,0.089200,0.006700,0.134513,0.256755,0.133657,0.007932,0.001973,3.000000,0.022727,1.003810,-0.172930,-0.022449,0.002945,-0.009949,1.000000,20.162605,34.008942,0.014618,0.075734,17.000000,23.500000,0.003150,0.014450,1.000000,2.659534,8.717304,0.001977,0.008717,18.000000,24.000000,0.001500,0.015800,0.000000
30.71934891,76.51260376,727.59252930,116.000000,0.018554,6251.949707,-0.655300,0.475000,0.375950,0.075250,0.004800,0.332354,0.228443,0.479612,0.109533,0.005130,0.001691,68578.382813,-0.548400,0.593900,0.118400,0.075300,0.006000,0.330225,0.275436,0.441838,0.177493,0.002438,3.000000,0.025862,1.004338,-0.222085,-0.024651,0.008850,0.003113,1.000000,8.121971,11.143641,0.010008,0.018736,17.000000,18.500000,0.003300,0.008900,1.000000,3.677473,9.493356,0.004350,0.010168,17.000000,19.000000,0.006100,0.010700,0.000000
31.16020012,77.31580353,727.48547363,189.000000,0.023092,8184.791504,0.737100,0.165300,0.460200,0.127000,nan,0.475202,0.172500,0.541086,0.100451,nan,0.001730,109218.218750,0.663400,0.155550,0.708500,0.137950,0.004000,0.448251,0.087709,0.426421,0.080142,0.007764,8.000000,0.042328,1.002656,-0.096351,-0.021200,-0.008347,-0.005676,0.984127,4.887494,10.838223,0.018830,0.089404,13.000000,13.000000,0.001300,0.006300,1.000000,4.275273,13.781324,0.001945,0.023704,12.000000,14.000000,0.001050,0.007200,0.000000
31.45434952,77.26370239,727.90008545,56.000000,0.014318,3911.280762,-0.427700,0.248650,0.831700,0.087800,0.006150,0.432844,0.175231,0.547789,0.081073,0.019440,0.001051,53292.425781,-0.427100,0.241700,0.854300,0.087400,0.005500,0.209846,0.095785,0.061812,0.097873,0.019135,1.000000,0.017857,1.009050,-0.276374,-0.000049,-0.003151,-0.011627,1.000000,3.070545,26.095404,0.002264,0.074470,17.000000,15.500000,0.002150,0.010600,1.000000,3.257806,27.069561,0.001457,0.078030,17.000000,16.000000,0.001600,0.009900,0.000000
