//X,Y,Z,len(points),areaXZ,densitatXZ,median nx,median ny,median nz,median diff,median m3c2,stdev nx,stdev ny,stdev nz,stdev diff,stdev m3c2,c areaXZ,c densitatXZ,c median nx,c median ny,c median nz,c median diff,c median m3c2,c stdev nx,c stdev ny,c stdev nz,c stdev diff,c stdev m3c2,outliers,outliers dens,stdev z scores,median z scores,dispX,dispY,dispZ,significant change,stdev Npoints cloud1,stdev Npoints cloud2,stdev IQR cloud1,stdev IQR cloud2,median Npoints cloud1,median Npoints cloud2,median IQR cloud1,median IQR cloud2,c significant change,c stdev Npoints cloud1,c stdev Npoints cloud2,c stdev IQR cloud1,c stdev IQR cloud2,c median Npoints cloud1,c median Npoints cloud2,c median IQR cloud1,c median IQR cloud2,label
25.91939926,71.94339752,728.1771851,301,0.076712,3923.742676,-0.27,0.2855,0.674,0.0945,0.0054,0.476973,0.243909,0.526191,0.065528,0.013503,0.006327,47570.96875,-0.53385,0.3288,0.7724,0.09745,0.00495,0.249615,0.143671,0.329792,0.020855,0.00239,5,0.016611,1.001665,-0.265285,-0.004901,-0.007652,0.005615,0.996678,8.233383,32.816216,0.011766,0.040543,15,14,0.0019,0.0097,1,3.65881,5.2775,0.002608,0.006366,17,14,0.0014,0.00815,0
25.49340057,71.80465698,728.0090332,52,0.014046,3702.135254,-0.3023,0.51825,0.367,0.0861,0.0061,0.346595,0.263974,0.575089,0.046884,0.010612,0.001036,50176.92578,-0.531,0.4941,0.6618,0.0717,0.0061,0.347549,0.22015,0.295355,0.010153,0.005043,1,0.019231,1.009756,-0.11361,0.00955,0.003204,0.012817,1,4.876878,57.424259,0.005537,0.092452,15,20,0.00495,0.012,1,2.666667,6.159906,0.002299,0.016612,13,22,0.003,0.014,0
25.27394867,71.4226532,728.4506226,162,0.042371,3823.397949,-0.47185,0.2697,0.65175,0.103,0.0055,0.488932,0.219007,0.557281,0.115214,0.008892,0.003928,41246.20313,-0.6374,0.28485,0.7493,0.09715,0.00465,0.262937,0.09336,0.176986,0.012812,0.002975,4,0.024691,1.003101,-0.276471,0.01985,-0.0042,0.00058,1,4.231438,37.436745,0.00299,0.096102,15,19,0.0013,0.0104,1,3.820399,5.491213,0.000672,0.008424,15.5,20,0.001,0.0106,0
24.90940094,71.3681488,728.1974487,1064,0.256925,4141.29248,-0.2011,0.5652,0.53265,0.14315,0.0058,0.376216,0.266805,0.571867,0.075618,0.007049,0.028097,37869.45703,-0.2401,0.5436,0.66335,0.1555,0.0051,0.302661,0.21162,0.495155,0.05547,0.002974,25,0.023496,1.00047,-0.112481,0.02435,-0.006496,-0.065704,1,5.223957,17.087934,0.00657,0.045966,15,15,0.00195,0.01045,1,4.26574,7.526507,0.004531,0.009736,14,15,0.0015,0.00915,0
23.44020081,71.33129883,726.6824951,764,0.144857,5274.151367,-0.52015,0.43515,0.71035,0.179,0.0051,0.252214,0.170159,0.305549,0.061575,0.005298,0.015787,48393.90234,-0.5377,0.4359,0.6801,0.179,0.0063,0.368413,0.190065,0.297584,0.053562,0.006374,18,0.02356,1.000655,0.092927,0.0133,0.045849,0.008026,1,3.410108,13.470088,0.00942,0.022202,16,15,0.0011,0.0094,1,4.651143,6.879085,0.020583,0.008807,16,15,0.001,0.0102,0
24.24740028,71.31300354,727.5772705,1884,0.596226,3159.874756,-0.38995,0.4623,0.566,0.10965,0.0016,0.343714,0.262343,0.596532,0.079805,nan,0.064907,29026.33398,-0.2624,0.5176,0.73035,0.11125,0.0042,0.286029,0.259061,0.35781,0.044031,0.009776,24,0.012739,1.000265,-0.257356,0.00555,0.043251,0.056,0.997877,4.618469,21.00017,0.003985,0.045136,16,16,0.0019,0.0099,1,5.153774,10.656805,0.003763,0.035458,15,14,0.0012,0.0074,0
24.82384872,71.56099701,727.4168701,1098,0.247608,4434.428711,-0.2911,0.50145,0.61625,0.12855,0.005,0.366227,0.261848,0.569872,0.089597,nan,0.027221,40337.18359,-0.2568,0.40495,0.72985,0.1534,0.0045,0.314898,0.26689,0.500464,0.075358,0.004419,24,0.021858,1.000456,-0.179255,0.051649,-0.053352,-0.036346,0.999089,4.460408,16.396828,0.004919,0.039695,16,15,0.0017,0.0088,1,3.677454,10.623112,0.002302,0.017256,17,14,0.0018,0.0077,0
24.73085022,71.43930054,727.7115479,118,0.038551,3060.888428,-0.2397,0.56065,-0.0872,0.09175,0.0076,0.563465,0.202628,0.54113,0.103914,0.023889,0.003739,31562.01758,-0.21815,0.6322,0.39965,0.0763,0.0066,0.484978,0.240772,0.572077,0.113408,0.031812,3,0.025424,1.004264,-0.301898,-0.0034,-0.01825,-0.000641,1,29.518862,63.204239,0.052718,0.110176,18.5,19.5,0.0058,0.01495,1,4.983048,20.482388,0.003445,0.105524,17,18,0.0052,0.01355,0
23.80279922,71.00839996,727.6563721,269,0.075516,3562.156494,-0.1932,0.5882,-0.4472,0.102,0.0069,0.346961,0.239122,0.63334,0.041246,0.012043,0.006951,38699.75781,-0.27665,0.82635,-0.1422,0.1029,0.00785,0.289858,0.258943,0.53261,0.021362,0.019592,4,0.01487,1.001864,-0.108889,-0.001151,-0.004997,-0.054596,0.996283,4.782389,17.457972,0.00588,0.048702,17,19,0.0042,0.0149,0.970588,4.339533,9.146071,0.003211,0.051576,17.5,16,0.0055,0.0162,0
23.91545105,71.11969757,727.3201294,274,0.082614,3316.643066,-0.1084,0.6361,0.61865,0.10305,0.00515,0.282325,0.205181,0.676298,0.04672,0.010152,0.008275,33112.77344,-0.02955,0.69405,0.7143,0.07675,0.0038,0.185813,0.169785,0.3779,0.049439,0.003066,3,0.010949,1.00183,-0.281935,-0.00465,-0.009804,-0.019684,0.99635,3.425347,17.552534,0.003039,0.041425,15,15,0.0019,0.0081,1,2.626,13.003897,0.001903,0.012141,15,12,0.001,0.00555,0
