//X,Y,Z,len(points),areaXZ,densitatXZ,median nx,median ny,median nz,median diff,median m3c2,stdev nx,stdev ny,stdev nz,stdev diff,stdev m3c2,c areaXZ,c densitatXZ,c median nx,c median ny,c median nz,c median diff,c median m3c2,c stdev nx,c stdev ny,c stdev nz,c stdev diff,c stdev m3c2,outliers,outliers dens,stdev z scores,median z scores,dispX,dispY,dispZ,significant change,stdev Npoints cloud1,stdev Npoints cloud2,stdev IQR cloud1,stdev IQR cloud2,median Npoints cloud1,median Npoints cloud2,median IQR cloud1,median IQR cloud2,c significant change,c stdev Npoints cloud1,c stdev Npoints cloud2,c stdev IQR cloud1,c stdev IQR cloud2,c median Npoints cloud1,c median Npoints cloud2,c median IQR cloud1,c median IQR cloud2,label
10.96364975,71.87234497,723.08557129,360.000000,0.060457,5954.660156,-0.127400,0.911800,0.217850,0.066700,0.002550,0.166928,0.078767,0.358918,0.008213,0.002156,0.005427,66340.171875,-0.250300,0.899350,0.370800,0.068450,0.002200,0.195133,0.051945,0.170652,0.004028,0.000978,4.000000,0.011111,1.001392,-0.322349,-0.025750,-0.003849,0.044647,1.000000,2.640762,3.596380,0.000733,0.005316,11.000000,12.000000,0.001200,0.004200,1.000000,1.630951,0.894427,0.000622,0.001852,11.000000,12.000000,0.001050,0.003600,1.000000
8.62400055,70.88305664,723.43200684,118.000000,0.020218,5836.245605,0.065450,0.960800,-0.036400,0.065100,0.003000,0.185125,0.052241,0.246576,0.216868,0.001523,0.002121,55622.449219,0.233500,0.960500,-0.009950,0.066250,0.002400,0.174682,0.074534,0.193689,0.438711,0.001317,2.000000,0.016949,1.004264,-0.133664,0.005350,-0.008595,0.010620,1.000000,3.121983,2.477188,0.000878,0.003501,14.000000,15.000000,0.001500,0.005600,1.000000,2.816007,2.939199,0.001329,0.002941,14.000000,14.000000,0.001000,0.004250,1.000000
8.44935036,70.38189697,724.69311523,82.000000,0.009862,8314.821289,-0.502450,0.702600,0.394950,0.068750,0.003300,0.288741,0.236086,0.377601,0.017044,0.002532,0.000850,96505.945313,-0.295100,0.819700,0.391400,0.069300,0.002200,0.226489,0.182313,0.360001,0.008492,0.003267,3.000000,0.036585,1.006154,-0.325683,0.001350,0.007252,0.014252,1.000000,2.664068,5.913929,0.002171,0.007145,13.000000,13.000000,0.001850,0.005750,1.000000,1.853058,6.260286,0.001511,0.009317,12.000000,13.000000,0.001400,0.003400,1.000000
6.33729982,69.18430328,725.23211670,89.000000,0.010069,8838.890625,-0.339700,0.857100,-0.240700,0.076500,0.003800,0.169490,0.080931,0.183447,0.008645,0.001364,0.000883,100761.109375,-0.416800,0.834500,-0.269900,0.084100,0.002600,0.158087,0.077681,0.171218,0.003381,0.000812,0.000000,0.000000,1.005666,0.056857,-0.003450,0.011703,-0.015289,1.000000,2.584477,3.138935,0.000593,0.003209,15.000000,17.000000,0.001600,0.007600,1.000000,2.325838,2.526055,0.000571,0.002068,14.000000,18.000000,0.001900,0.005400,1.000000
5.72739983,68.89559937,725.37097168,522.000000,0.061377,8504.863281,-0.378250,0.841650,-0.360350,0.073100,0.003100,0.213144,0.160563,0.164727,0.014363,0.001420,0.006530,79940.578125,-0.411800,0.833200,-0.407600,0.080500,0.002700,0.145438,0.137973,0.135484,0.016664,0.001463,0.000000,0.000000,1.000959,-0.333246,0.001650,0.006897,0.006836,1.000000,2.409456,3.924165,0.000695,0.003405,16.000000,15.000000,0.001500,0.005700,1.000000,1.977746,3.719489,0.000540,0.003489,16.000000,16.000000,0.001500,0.005100,1.000000
5.66020012,68.96489716,725.80688477,47.000000,0.002842,16539.019531,-0.427000,0.872100,-0.184200,0.067400,0.003700,0.160871,0.125875,0.196174,0.003442,0.001612,0.000295,159359.187500,-0.460050,0.863350,-0.175800,0.069900,0.002600,0.143531,0.124685,0.178766,0.001956,0.001891,0.000000,0.000000,1.010811,0.093111,-0.000750,0.004498,0.004486,1.000000,2.499954,3.004776,0.000375,0.003723,14.000000,15.000000,0.001200,0.007200,1.000000,2.732640,3.191082,0.000403,0.004204,14.000000,13.500000,0.001150,0.004950,1.000000
5.78879976,69.05069733,727.11791992,2199.000000,0.350314,6277.231934,-0.418400,0.833600,-0.153400,0.107200,0.003700,0.209386,0.136529,0.280470,0.041360,0.002132,0.038623,56934.878906,-0.528100,0.771000,-0.223800,0.150900,0.004000,0.157807,0.146257,0.263388,0.031928,0.002496,8.000000,0.003638,1.000227,-0.260246,-0.026250,0.041397,-0.018829,1.000000,3.035500,6.691038,0.000507,0.006370,14.000000,16.000000,0.001300,0.007200,1.000000,2.217728,5.782942,0.000518,0.007352,14.000000,15.000000,0.001400,0.007200,1.000000
23.29269981,67.29949951,743.94378662,151.000000,0.017462,8647.141602,-0.244500,0.840100,0.060500,0.071300,0.003100,0.313621,0.167968,0.315731,0.007681,0.001681,0.001551,97351.882813,-0.429900,0.902900,-0.088600,0.074300,0.003100,0.339042,0.158271,0.162289,0.007311,0.001520,1.000000,0.006623,1.003328,-0.095423,0.006800,0.000149,-0.029877,1.000000,2.552789,2.901777,0.000573,0.004039,13.000000,13.000000,0.001300,0.005400,1.000000,1.739428,2.424469,0.000629,0.003522,14.000000,13.000000,0.001700,0.005400,1.000000
31.34794998,75.89884949,731.38201904,258.000000,0.023856,10815.026367,-0.651600,0.441550,0.580200,0.083550,0.003200,0.189581,0.168929,0.264233,0.046509,0.005246,0.002469,104478.023438,-0.668500,0.388950,0.622700,0.092250,0.002800,0.181427,0.153496,0.243226,0.072570,0.008485,1.000000,0.003876,1.001944,-0.057265,-0.010700,0.001698,0.007050,1.000000,8.819482,6.333144,0.031931,0.005506,16.000000,19.000000,0.001500,0.006200,1.000000,14.110208,7.771184,0.053446,0.006205,16.000000,19.000000,0.001500,0.005750,1.000000
33.04370117,77.00509644,732.65869141,322.000000,0.024354,13221.522461,-0.720250,0.565800,0.266500,0.085850,0.004100,0.143278,0.142876,0.320354,0.014440,0.002038,0.002440,131957.656250,-0.693400,0.627000,0.177900,0.093300,0.003300,0.093830,0.142004,0.317365,0.006616,0.002372,0.000000,0.000000,1.001556,-0.012881,-0.023598,0.002998,0.004059,1.000000,2.773270,5.339956,0.001161,0.005487,15.000000,17.000000,0.001700,0.008400,1.000000,2.637578,4.818571,0.001049,0.006478,14.000000,15.000000,0.001800,0.005500,1.000000
30.79800034,76.19544983,729.11499023,342.000000,0.043982,7775.875000,-0.384750,0.774300,0.240100,0.090200,0.005200,0.371669,0.201648,0.333815,0.021404,0.002119,0.004644,73641.875000,-0.335600,0.793000,0.224700,0.104300,0.004100,0.330431,0.175363,0.280142,0.009203,0.001915,4.000000,0.011696,1.001465,-0.038306,0.003601,0.032452,0.001221,1.000000,2.503245,5.944358,0.001044,0.006413,14.000000,16.000000,0.001800,0.010300,1.000000,2.915264,4.462015,0.000785,0.005258,13.000000,14.000000,0.001800,0.008200,1.000000
